id,pid,name,description,price,s30,P030,LED Light Therapy Mask,มาส์กไฟ LED บำบัดสิว ลดการอักเสบ กระตุ้นคอลลาเจน,2990,47,Device,/images/p30.png
31,P031,Zinc Oxide Spot Cream,ครีมแต้มสิวซิงค์ออกไซด์ ลดความมัน แห้งเร็ว ไม่ระคายเคือง,290,184,Acne Treatment,/images/p31.png
32,P032,Peptide Anti-Aging Serum,เซรั่มเปปไทด์ ลดรอยสิว ชะลอริ้วรอย เพิ่มความกระชับ,1290,65,Serum,/images/p32.png
33,P033,Konjac Cleansing Sponge,ฟองน้ำล้างหน้าคอนยัค อ่อนโยน ผลัดเซลล์ผิวเก่า,120,187,Cleanser,/images/p33.png
34,P034,Propolis Ampoule,แอมพูลโพรพอลิส บำรุงผิว ลดการอักเสบ เพิ่มความชุ่มชื้น,980,106,Ampoule,/images/p34.png
35,P035,Facial Steamer Device,เครื่องอบไอน้ำหน้า เปิดรูขุมขน เตรียมผิวก่อนทำความสะอาด,1590,32,Device,/images/p35.png
36,P036,Blackhead Remover Vacuum,เครื่องดูดสิวเสี้ยน ทำความสะอาดรูขุมขน แรงดูด 3 ระดับ,890,119,Device,/images/p36.png
37,P037,Glycolic Acid Peel Pads,แผ่นผลัดเซลล์ผิว Glycolic Acid ผิวกระจ่างใส ลดรอยดำ,550,98,Exfoliator,/images/p37.png
38,P038,Cucumber Eye Gel Mask,มาส์กเจลใต้ตา แตงกวา ลดความบวม ถุงใต้ตา รอยคล้ำ,180,223,Eye Care,/images/p38.png
39,P039,Acne Scar Healing Oil,น้ำมันลดรอยแผลเป็นจากสิว ฟื้นฟูผิว ผิวเรียบเนียน,680,87,Treatment,/images/p39.png
40,P040,Sulfur Mask Anti-Acne,มาส์กซัลเฟอร์ ลดสิวอักเสบ ดูดซับความมัน ทำความสะอาดล้ำลึก,420,165,Mask,/images/p40.pngock,category,image_url
1,P001,Acne Clear Serum,เซรั่มแต้มสิว ลดการอักเสบ ผสม Salicylic Acid 2% ช่วยขจัดสิว,590,156,Acne Treatment,/images/p1.png
2,P002,Gentle Foam Cleanser,โฟมล้างหน้าอ่อนโยน ทำความสะอาดล้ำลึก เหมาะผิวมันและสิว,350,189,Cleanser,/images/p2.png
3,P003,Anti-Acne Gel,เจลแต้มสิว ลดรอยแดง ผสมสารสกัดจากชาเขียว รักษาสิวอักเสบ,490,134,Acne Treatment,/images/p3.png
4,P004,Pore Tightening Toner,โทนเนอร์กระชับรูขุมขน ควบคุมความมัน ลดการอุดตันของรูขุมขน,420,178,Toner,/images/p4.png
5,P005,Oil Control Moisturizer,มอยส์เจอไรเซอร์ควบคุมความมัน เนื้อบางเบา ไม่อุดตันรูขุมขน,680,123,Moisturizer,/images/p5.png
6,P006,BHA Exfoliating Serum,เซรั่มผลัดเซลล์ผิว ผสม BHA ช่วยลดสิวอุดตัน ผิวเรียบเนียน,750,67,Serum,/images/p6.png
7,P007,Acne Patch Set 72pcs,แผ่นปิดสิว 72 ชิ้น ซับหนอง ปกป้องสิว เร่งการหาย,89,245,Acne Treatment,/images/p7.png
8,P008,Vitamin C Brightening Serum,เซรั่มวิตามินซี ลดรอยดำ จุดด่างดำจากสิว ผิวกระจ่างใส,890,98,Serum,/images/p8.png
9,P009,Niacinamide 10% Serum,เซรั่ม Niacinamide 10% ลดรอยสิว ควบคุมความมัน กระชับรูขุมขน,650,134,Serum,/images/p9.png
10,P010,Micellar Cleansing Water,มิเซลลาร์วอเตอร์ ทำความสะอาดเครื่องสำอาง ไม่ต้องล้างออก,290,191,Cleanser,/images/p10.png
11,P011,"Laptop Sleeve 14""",ซองใส่แล็ปท็อป กันรอย ขนาดพอดีเครื่อง 14 นิ้ว,690,156,Electronics,/images/p11.png
12,P012,USB-C Hub 6-in-1,ฮับเพิ่มพอร์ต HDMI/USB/SD รองรับชาร์จผ่าน,1190,73,Electronics,/images/p12.png
13,P013,Portable SSD 1TB,SSD พกพาโอนถ่ายข้อมูลรวดเร็ว ทนทาน,3290,12,Electronics,/images/p13.png
14,P014,HDMI Cable 2m,สาย HDMI รองรับ 4K 60Hz คุณภาพสัญญาณคมชัด,250,189,Electronics,/images/p14.png
15,P015,"Monitor 27"" 2K IPS",จอภาพ 27 นิ้ว คมชัด มุมมองกว้าง เหมาะทำงาน/แต่งภาพ,6990,34,Electronics,/images/p15.png
16,P016,Desk Lamp LED,โคมไฟตั้งโต๊ะ ปรับระดับแสง ถนอมสายตา,590,167,Home,/images/p16.png
17,P017,Standing Desk,โต๊ะทำงานปรับสูง-ต่ำ ลดอาการเมื่อยล้า,8990,56,Furniture,/images/p17.png
18,P018,Coffee Maker,เครื่องชงกาแฟ ใช้งานง่าย ทำเอสเปรสโซ/ลาเต้,3490,98,Home,/images/p18.png
19,P019,Air Fryer 4L,หม้อทอดไร้น้ำมัน ทำอาหารกรอบนอกนุ่มใน,2190,145,Kitchen,/images/p19.png
20,P020,Collagen Booster Serum,เซรั่มบูสคอลลาเจน เพิ่มความยืดหยุ่น ลดรอยดำรอยแดง,850,103,Serum,/images/p20.png
21,P021,Acne Fighting Facial Wash,เจลล้างหน้าต้านสิว ผสม Benzoyl Peroxide ลดแบคทีเรีย,420,178,Cleanser,/images/p21.png
22,P022,Centella Asiatica Cream,ครีมบัวบก ซ่อมแซมผิว ลดรอยแดง บรรเทาการอักเสบ,560,167,Treatment,/images/p22.png
23,P023,AHA/BHA Peeling Solution,น้ำยาผลัดเซลล์ผิว AHA/BHA ลดสิวอุดตัน ผิวกระจ่างใส,680,134,Exfoliator,/images/p23.png
24,P024,Snail Mucin Essence,เอสเซนส์เมือกหอยทาก ฟื้นฟูผิว ลดรอยดำ เพิ่มความชุ่มชื้น,790,95,Essence,/images/p24.png
25,P025,Acne Control Sheet Mask,ชีตมาส์กควบคุมสิว ผสมซาลิไซลิก ช่วยลดการอักเสบ,45,287,Mask,/images/p25.png
26,P026,Pimple Extracting Tool Set,ชุดอุปกรณ์เกาะสิว สแตนเลส ทำความสะอาดง่าย 5 ชิ้น,250,156,Tool,/images/p26.png
27,P027,Rose Water Toner,โทนเนอร์กุหลาบ บำรุงผิว ลดการระคายเคือง กลิ่นหอมอ่อนๆ,320,212,Toner,/images/p27.png
28,P028,Ceramide Repair Cream,ครีมซีราไมด์ซ่อมแซมเกราะผิว ปกป้องผิวจากสิ่งแวดล้อม,890,79,Moisturizer,/images/p28.png
29,P029,Probiotic Face Mist,สเปรย์พรีไบโอติก ปรับสมดุลผิว เพิ่มความชุ่มชื้น,450,178,Mist,/images/p29.png
30,P030,LED Light Therapy Mask,มาส์กไฟ LED บำบัดสิว ลดการอักเสบ กระตุ้นคอลลาเจน,2990,47,Device,/images/p30.png
31,P031,Router WiFi 6,เราเตอร์ WiFi 6 สัญญาณแรง รองรับอุปกรณ์มาก,2590,134,Electronics,/images/p31.png
32,P032,Power Bank 20000mAh,เพาเวอร์แบงก์ ชาร์จเร็ว PD/QC พร้อมจอแสดงผล,1290,45,Electronics,/images/p32.png
33,P033,Electric Kettle 1.8L,กาต้มน้ำไฟฟ้า ตัดไฟอัตโนมัติ ฐานหมุน 360°,690,87,Kitchen,/images/p33.png
34,P034,Rice Cooker 1.8L,หม้อหุงข้าว อุ่นอัตโนมัติ หม้อหนาเคลือบ,1190,156,Kitchen,/images/p34.png
35,P035,Vacuum Cleaner 1400W,เครื่องดูดฝุ่น ไซโคลน ไส้กรอง HEPA,2590,12,Home,/images/p35.png
36,P036,Steam Iron,เตารีดไอน้ำ รีดลื่น ลดรอยยับ ร้อนเร็ว,790,189,Home,/images/p36.png
37,P037,Wall Clock Silent,นาฬิกาแขวน เสียงเงียบ ดีไซน์มินิมอล,350,78,Home,/images/p37.png
38,P038,Photo Frame A4,กรอบรูป A4 วัสดุคุณภาพ แขวน/วางได้,150,123,Home,/images/p38.png
39,P039,Notebook A5 100p,สมุดบันทึก A5 100 แผ่น กระดาษถนอมสายตา,89,67,Office,/images/p39.png
40,P040,Sulfur Mask Anti-Acne,มาส์กซัลเฟอร์ ลดสิวอักเสบ ดูดซับความมัน ทำความสะอาดล้ำลึก,420,165,Mask,/images/p40.png
41,P041,Vitamin E Spot Treatment,วิตามินอีแต้มสิว บำรุงผิว ลดรอยแดง เร่งการหาย,350,123,Acne Treatment,/images/p41.png
42,P042,Bamboo Charcoal Soap,สบู่ถ่านไม้ไผ่ ดูดซับสิ่งสกปรก ควบคุมความมัน,180,198,Cleanser,/images/p42.png
43,P043,Licorice Extract Serum,เซรั่มสารสกัดชะเอม ลดจุดด่างดำ รอยสิว ผิวสว่างกระจ่างใส,720,87,Serum,/images/p43.png
44,P044,Mandelic Acid Toner,โทนเนอร์กรดแมนเดลิก ผลัดเซลล์ผิวอ่อนโยน ลดสิวอุดตัน,480,154,Toner,/images/p44.png
45,P045,Pore Minimizing Primer,ไพรเมอร์กระชับรูขุมขน เบลอรูขุมขน เนื้อบางเบา,520,95,Primer,/images/p45.png
46,P046,Acne Cleansing Brush,แปรงล้างหน้าไฟฟ้า ทำความสะอาดล้ำลึก กันน้ำ USB ชาร์จ,790,107,Device,/images/p46.png
47,P047,Bakuchiol Night Serum,เซรั่มบาคูชิออล ทางเลือกแทนเรตินอล อ่อนโยน ไม่ระคายเคือง,890,136,Serum,/images/p47.png
48,P048,Facial Cleansing Towel,ผ้าเช็ดหน้าแบบใช้แล้วทิ้ง นุ่ม ไม่ระคายเคือง 100 ชิ้น,120,212,Cleanser,/images/p48.png
49,P049,Azelaic Acid Cream,ครีมกรดอะซีเลอิก ลดรอยดำ รอยแดง ควบคุมสิว,650,99,Treatment,/images/p49.png
50,P050,Colloidal Oat Cleanser,เจลล้างหน้าข้าวโอ๊ต บรรเทาผิวแพ้ง่าย ผิวบอบบาง,380,128,Cleanser,/images/p50.png
51,P051,Intensive Acne Spot Gel,เจลแต้มสิวเข้มข้น ผสมซัลเฟอร์และซิงค์ แห้งเร็ว ลดการอักเสบ,590,143,Acne Treatment,/images/p51.png
52,P052,Cica Repair Cream,ครีมซิก้า ซ่อมแซมผิวเสียหาย บรรเทาการระคายเคือง,680,97,Moisturizer,/images/p52.png
53,P053,Galactomyces Essence,เอสเซนส์ Galactomyces ปรับสภาพผิว ลดรอยดำ ผิวกระจ่างใส,820,125,Essence,/images/p53.png
54,P054,Pore Clearing Scrub,สครับผลัดผิว ทำความสะอาดรูขุมขน ผิวเรียบเนียน,320,103,Exfoliator,/images/p54.png
55,P055,Q10 Anti-Oxidant Serum,เซรั่มโคเอนไซม์ Q10 ต้านอนุมูลอิสระ ฟื้นฟูผิวจากสิว,750,98,Serum,/images/p55.png
56,P056,Calamine Lotion Soothing,โลชั่นคาลาไมน์ บรรเทาผิวคัน แดง ระคายเคือง จากสิว,250,187,Soothing,/images/p56.png
57,P057,Acne Clearing Body Spray,สเปรย์ฉีดสิวตัว กำจัดสิวหลัง อก ง่ายใช้สะดวก,480,114,Body Care,/images/p57.png
58,P058,Salicylic Acid Cleanser,เจลล้างหน้ากรดซาลิไซลิก 2% ลดสิวอุดตัน สิวหัวดำ,420,165,Cleanser,/images/p58.png
59,P059,Resveratrol Firming Serum,เซรั่มเรสเวอราทรอล กระชับผิว ลดรอยสิว ผิวเต่งตึง,980,77,Serum,/images/p59.png
60,P060,Witch Hazel Toner,โทนเนอร์วิทช์เฮเซล กระชับรูขุมขน ลดการอักเสบ,350,176,Toner,/images/p60.png
61,P061,Benzoyl Peroxide Gel 5%,เจล Benzoyl Peroxide 5% ฆ่าเชื้อแบคทีเรียสิว รักษาสิวอักเสบ,480,92,Acne Treatment,/images/p61.png
62,P062,Papaya Enzyme Cleanser,เจลล้างหน้าสารสกัดมะละกอ ผลัดเซลล์ผิวอ่อนโยน,340,169,Cleanser,/images/p62.png
63,P063,Tranexamic Acid Serum,เซรั่มทรานเน็กซามิก ลดฝ้า กระ รอยดำจากสิว,920,88,Serum,/images/p63.png
64,P064,Facial Ice Roller,โรลเลอร์เย็น ลดการบวม ผิวตึง กระชับรูขุมขน,290,143,Tool,/images/p64.png
65,P065,Pore Strips Nose Pack,แผ่นดึงสิวเสี้ยน จมูก ดึงสิ่งสกปรกออกจากรูขุมขน,69,267,Mask,/images/p65.png
66,P066,Lactic Acid Lotion,โลชั่นกรดแลคติก ผลัดเซลล์ผิวตัว ผิวเรียบเนียน,520,125,Body Care,/images/p66.png
67,P067,Jojoba Oil Pure,น้ำมันโจโจบาบริสุทธิ์ บำรุงผิว ลดรอยแผลเป็น ควบคุมความมัน,450,103,Oil,/images/p67.png
68,P068,Rosehip Seed Oil,น้ำมันเมล็ดกุหลาบป่า ฟื้นฟูผิว ลดรอยดำ รอยแผลเป็น,680,98,Oil,/images/p68.png
69,P069,LED Acne Light Pen,ปากกาไฟ LED รักษาสิว กระชับรูขุมขน พกพาสะดวก,890,87,Device,/images/p69.png
70,P070,Micro-Needling Derma Roller,เดอร์มาโรลเลอร์ 0.5mm กระตุ้นคอลลาเจน ลดรอยสิว,650,74,Device,/images/p70.png
71,P071,Argan Oil Treatment,น้ำมันอาร์แกน บำรุงผิวหน้า ลดรอยแห้งกร้าน จากการรักษาสิว,580,115,Oil,/images/p71.png
72,P072,Activated Charcoal Mask,มาส์กถ่านกัมมันต์ ดูดซับสิ่งสกปรก ควบคุมความมัน,390,137,Mask,/images/p72.png
73,P073,Squalane Hydrating Oil,น้ำมันสควาเลน เติมความชุ่มชื้น ไม่หนักหน้า ไม่อุดตัน,720,106,Oil,/images/p73.png
74,P074,Amino Acid Foam Wash,โฟมล้างหน้ากรดอะมิโน ทำความสะอาดอ่อนโยน ไม่แห้งตึง,380,152,Cleanser,/images/p74.png
75,P075,Blue Light Blocking Serum,เซรั่มป้องกันแสงสีน้ำเงิน ปกป้องผิวจากหน้าจอ,890,89,Serum,/images/p75.png
76,P076,Dead Sea Mud Mask,มาส์กโคลนทะเลเดดซี ดีท็อกซ์ผิว ดูดซับความมัน,520,98,Mask,/images/p76.png
77,P077,Ferulic Acid Antioxidant,เซรั่มกรดฟีรูลิก ต้านอนุมูลอิสระ ปกป้องผิวจากมลภาวะ,1050,63,Serum,/images/p77.png
78,P078,Silicone Face Scrubber,แปรงซิลิโคนล้างหน้า นุ่มนวล ทำความสะอาดล้ำลึก,180,147,Tool,/images/p78.png
79,P079,Acne Drying Lotion,โลชั่นทาสิวก่อนนอน แห้งเร็ว ลดขนาดสิว,450,125,Acne Treatment,/images/p79.png
80,P080,Collagen Night Mask,มาส์กคอลลาเจนกลางคืน ฟื้นฟูผิว ลดรอยสิว ตื่นมาผิวอิ่มฟู,590,93,Mask,/images/p80.png
81,P081,Adapalene Gel 0.1%,เจล Adapalene แผ่นยาจากเรตินอยด์ รักษาสิว ลดการอุดตัน,680,88,Acne Treatment,/images/p81.png
82,P082,Peptide Eye Cream,ครีมทาตาเปปไทด์ ลดริ้วรอย ถุงใต้ตา เพิ่มความกระชับ,750,97,Eye Care,/images/p82.png
83,P083,Clarifying Mud Cleanser,เจลล้างหน้าโคลนภูเขาไฟ ทำความสะอาดล้ำลึก ดึงสิ่งสกปรก,420,154,Cleanser,/images/p83.png
84,P084,Barrier Repair Balm,บาล์มซ่อมแซมเกราะผิว บำรุงผิวแห้ง ผิวบอบบาง,580,115,Moisturizer,/images/p84.png
85,P085,Gua Sha Jade Stone,หินกวาซา หยก นวดหน้า กระตุ้นไหลเวียน ผิวกระชับ,390,127,Tool,/images/p85.png
86,P086,Azelaic Acid Suspension,เซรั่ม Azelaic Acid 10% ลดรอยดำ สิว โรซาเซีย,720,96,Serum,/images/p86.png
87,P087,Essence Facial Mist,สเปรย์เอสเซนส์ ฉีดหน้า เติมความชุ่มชื้นทันที,320,176,Mist,/images/p87.png
88,P088,Blackhead Dissolver,เอสเซนส์ละลายสิวเสี้ยน ทำความสะอาดรูขุมขน อ่อนโยน,480,139,Treatment,/images/p88.png
89,P089,Collagen Drink Sachets,คอลลาเจนชงดื่ม บำรุงผิวจากภายใน 30 ซอง,890,78,Supplement,/images/p89.png
90,P090,Skin Vitamin Complex,วิตามินบำรุงผิว ลดสิว ผิวกระจ่างใส 60 แคปซูล,650,123,Supplement,/images/p90.png
91,P091,Probiotic Skin Capsules,โพรไบโอติกบำรุงผิว ปรับสมดุลผิว ลดการอักเสบ,580,87,Supplement,/images/p91.png
92,P092,Biotin Hair Skin Nails,ไบโอติน บำรุงผิว เส้นผม เล็บ 90 เม็ด,450,145,Supplement,/images/p92.png
93,P093,Facial Massage Roller,โรลเลอร์นวดหน้า 2 หัว ลดความบวม กระตุ้นไหลเวียน,290,123,Tool,/images/p93.png
94,P094,Soft Silicone Mask Brush,แปรงทาครีม มาส์ก ซิลิโคน ล้างง่าย ไม่ซึมผลิตภัณฑ์,89,248,Tool,/images/p94.png
95,P095,Cotton Pads Organic 200pcs,สำลีเช็ดหน้า ออร์แกนิค นุ่ม 200 ชิ้น,120,187,Tool,/images/p95.png
96,P096,Microfiber Face Towels,ผ้าเช็ดหน้าไมโครไฟเบอร์ นุ่มละเอียด แห้งเร็ว 6 ผืน,250,134,Tool,/images/p96.png
97,P097,Acne Skincare Travel Kit,ชุดสกินแคร์ท่องเที่ยว รักษาสิว ขนาดพกพา 5 ชิ้น,690,95,Set,/images/p97.png
98,P098,Teen Acne Starter Kit,ชุดรักษาสิววัยรุ่น เริ่มต้น เบสิก 4 ชิ้น,890,107,Set,/images/p98.png
99,P099,Professional Acne Kit,ชุดรักษาสิวครบเซ็ต ระดับโปร 7 ชิ้น,1890,56,Set,/images/p99.png
100,P100,Oil Control Blotting Paper,กระดาษซับมัน ดูดซับความมันได้ดี 100 แผ่น,69,312,Tool,/images/p100.png
